Id;Frage;Kategorie
89;sich intensiv mit verschiedenen Musikrichtungen auseinanderzusetzen;EMT
90;eine Buchkritik zu verfassen;EMT
91;Theateraufführungen zu besuchen;EMT
92;micht mit Ästhetik zu beschäftigen;EMT
93;künstlerische Disziplinen zu auszuführen;EMT
94;meine kreativen Fähigkeiten und Werke zu präsentieren;EMT
95;die Funktionsweise eines GPS-Systems zu verbessern;EMT
96;Sachen zu reparieren (elektronisch);EMT
97;elektrische Geräte zu montieren, anzuschließen und einzubauen;EMT
98;Berechnungen und Berichte auf Fehler zu kontrollieren;EMT
99;Artikel und Beiträge für Medien (z.B. Zeitschriften, Zeitungen, Onlinemagazine, Radio, TV) zu verfassen;EMT
100;Filme und Fotos am Computer kreativ aufzubereiten;EMT
101;einer künstlerischen oder kreativen Arbeit nachzugehen;EMT
102;sich professionell mit der Fotografie zu beschäftigen;EMT
103;Werbemittel (z.B. von Bildern, Anzeigen, Webseiten, Verpackungen usw.) grafisch zu gestalten;EMT
104;an der frischen Luft zu arbeiten;MBMK
105;einen Konstruktionsplan zu entwerfen;MBMK
106;Sachen zu reparieren (mechanisch);MBMK
107;Konstruktionspläne für technische Anlagen und Maschinen anzufertigen;MBMK
108;technische Anlagen und Maschinen zu bedienen;MBMK
109;sich mit Literatur zu beschäftigen;NUW
110;die Ergebnisse eines Projekts zu dokumentieren;NUW
111;Ergebnisse einer umfangreichen Recherche zu gliedern und zusammenzustellen;NUW
112;Dinge oder Vorgänge genau zu analysieren;NUW
113;Funktionsprinzipien aus der Natur für technische Lösungen zu nutzen;NUW
114;unerforschten Fragen nachzugehen;NUW
115;Zusammenhänge durch wissenschaftliche Untersuchungen aufzudecken;NUW
116;Ursachen und Wirkungen eines Problems zu untersuchen;NUW
117;mich mit abstrakten Zusammenhängen zu beschäftigen;NUW
118;die Gemeinsamkeit hinter verschiedenen Beobachtungen zu entdecken;NUW
119;wissenschaftliche Fachbegriffe zu verwenden und zu verstehen;NUW
120;die Ursachen eines Problems durch wissenschaftliche Untersuchungen zu analysieren;NUW
121;eine wissenschaftliche Theorie eingehend zu studieren;NUW
122;sich mit unerforschten Themengebieten auseinanderzusetzen;NUW
123;wissenschaftliche Experimente zu planen, durchzuführen und auszuwerten;NUW
124;sich mit theoretischen Fragestellungen auseinanderzusetzen;NUW
125;in einem Labor oder Forschungsinstitut zu arbeiten;NUW
126;Forschungsergebnisse auf einem wissenschaftlichen Kongress vorzustellen;NUW
